# string-xref names: 0x<rva>|<qualified name>|tier|votes|<mangled>
0x002F831D|BGSTerrainChunk::OnLoadFinished|T2|1|?OnLoadFinished@BGSTerrainChunk@@QAAXXZ
0x002F8B40|BGSTerrainChunk::BuildChunkFileName|T2|1|?BuildChunkFileName@BGSTerrainChunk@@SAXPADPAVTESWorldSpace@@HFF@Z
0x002F8C40|BGSTerrainChunk::BuildChunkNormalTextureFileName|T2|1|?BuildChunkNormalTextureFileName@BGSTerrainChunk@@SAXPADPAVTESWorldSpace@@HFF@Z
0x002F8D3D|BGSTerrainChunk::GetTexture|T2|1|?GetTexture@BGSTerrainChunk@@QAAPAVNiTexture@@W4ChunkTextureType@1@@Z
0x002F9D60|BGSTerrainChunkLoadTask::Run|T2|1|?Run@BGSTerrainChunkLoadTask@@UAAXXZ
0x002FA210|BGSTerrainChunkLoadTask::Finish|T2|1|?Finish@BGSTerrainChunkLoadTask@@UAAXXZ
0x002FA420|BGSTerrainChunkLoadTask::GetDescription|T2|1|?GetDescription@BGSTerrainChunkLoadTask@@UAA_NPADI@Z
0x002FA561|BGSTerrainManager::UnloadAll|T2|1|?UnloadAll@BGSTerrainManager@@QAAXXZ
0x002FB3D0|BGSTerrainNode::UpdateBlockVisibility|T2|1|?UpdateBlockVisibility@BGSTerrainNode@@QAAX_N@Z
0x002FBAE0|BGSTerrainNode::UpdateBlocks|T2|1|?UpdateBlocks@BGSTerrainNode@@QAAXABVNiPoint3@@_N@Z
0x002FC020|BGSTerrainNode::UpdateTerrain|T2|1|?UpdateTerrain@BGSTerrainNode@@QAAXABVNiPoint3@@_N@Z
0x002FC381|BGSTerrainNode::UpdateTrees|T2|1|?UpdateTrees@BGSTerrainNode@@QAAXABVNiPoint3@@@Z
0x002FE510|BGSMenuPacker::DumpInfo|T1|4|?DumpInfo@BGSMenuPacker@@QAAXXZ
0x002FEA10|FaderManager::AddRoot|T2|1|?AddRoot@FaderManager@@QAAXPAVNiNode@@M_N@Z
