# constructor-candidate names: 0x<rva>|<Class::Class>|0x<vtable_va>
0x00081110|TESEnchantableForm::TESEnchantableForm|0x0101C1B0
0x00081430|TESForm::TESForm|0x0101C794
0x00081680|TESForm::TESForm|0x0101C794
0x00084A70|?$NiTMapBase@V?$NiTPointerAllocator@I::?$NiTMapBase@V?$NiTPointerAllocator@I|0x0101CA98
0x00084AF0|?$BSTCaseInsensitiveStringMap@PAVTESForm::?$BSTCaseInsensitiveStringMap@PAVTESForm|0x0101CAB8
0x00084C73|?$BSTCaseInsensitiveStringMap@PAVTESForm::?$BSTCaseInsensitiveStringMap@PAVTESForm|0x0101CAB8
0x00084CE0|?$NiTStringTemplateMap@V?$NiTMap@PBDPAVTESForm::?$NiTStringTemplateMap@V?$NiTMap@PBDPAVTESForm|0x0101CAD8
0x00084E40|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVTESForm::?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVTESForm|0x0101CB18
0x00084F2E|?$NiTStringMap@PAVTESForm::?$NiTStringMap@PAVTESForm|0x0101CB38
0x00084FED|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVTESForm::?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVTESForm|0x0101CB18
0x00085270|TESHealthForm::TESHealthForm|0x0101CB94
0x0008546C|TESImageSpaceModifiableForm::TESImageSpaceModifiableForm|0x0101CBD8
0x0008569D|TESLeveledList::TESLeveledList|0x0101CD04
0x00085710|TESLeveledList::TESLeveledList|0x0101CD04
0x00086FA0|TESModel::TESModel|0x0101CF44
0x00087BA0|TESModelList::TESModelList|0x0101D0D4
0x000884AD|TESModelTextureSwap::TESModelTextureSwap|0x0101D124
0x000884D4|TESModelTextureSwap::TESModelTextureSwap|0x0101D124
0x000893C0|?$BSMap@HPAUTEX_SWAP::?$BSMap@HPAUTEX_SWAP|0x0101D254
0x00089540|?$BSMapBase@HPAUTEX_SWAP::?$BSMapBase@HPAUTEX_SWAP|0x0101D274
0x000895B0|TESProduceForm::TESProduceForm|0x0101D2A4
0x00089A60|TESReactionForm::TESReactionForm|0x0101D46C
0x00089AE0|TESReactionForm::TESReactionForm|0x0101D46C
0x0008AD70|TESScriptableForm::TESScriptableForm|0x0101D518
0x0008B130|TESSpellList::TESSpellList|0x0101D628
0x0008C2E0|TESTexture::TESTexture|0x0101D7C4
0x0008C3A9|TESTexture::TESTexture|0x0101D7C4
0x0008C5FA|BGSNote::BGSNote|0x01046850
0x0008C819|TESValueForm::TESValueForm|0x0101D81C
0x0008CB40|TESWeightForm::TESWeightForm|0x0101D874
0x0008CEE0|BGSNote::BGSNote|0x01046850
0x0008D150|AnimSequenceMultiple::AnimSequenceMultiple|0x0101D908
0x0008D210|AnimSequenceBase::AnimSequenceBase|0x0101D8E8
0x0008D290|AnimSequenceMultiple::AnimSequenceMultiple|0x0101D908
0x0008D330|BGSNote::BGSNote|0x01046850
0x0008EE50|AnimSequenceSingle::AnimSequenceSingle|0x0101D8C8
0x00094620|AnimIdle::AnimIdle|0x0101DCD8
0x000948C0|NiRefObject::NiRefObject|0x0101DCE4
